35	-0.1823	-0.4524	-0.135	-0.3173	-0.1003	-0.3611	-0.1304	-0.2307	-0.0611	-0.2914	-0.1152	-0.1763	99.8092	72.9523			
36	-0.1823	-0.4524	-0.135	-0.3173	-0.1003	-0.3611	-0.1304	-0.2307	-0.0611	-0.2914	-0.1152	-0.1763	99.8092	72.9523			
37	-0.1823	-0.4524	-0.135	-0.3173	-0.1272	-0.3739	-0.1233	-0.2506	-0.0644	-0.3067	-0.1212	-0.1856	99.81	72.956			
38	-0.2139	-0.4674	-0.1267	-0.3406	-0.1542	-0.3867	-0.1163	-0.2705	-0.0676	-0.322	-0.1273	-0.1949	99.8098	73.0161			
39	-0.2499	-0.5028	-0.1264	-0.3763	-0.1652	-0.439	-0.1369	-0.3021	-0.0978	-0.364	-0.1332	-0.2309	99.8112	73.0198			
40	-0.2674	-0.5843	-0.1584	-0.4258	-0.23	-0.5169	-0.1434	-0.3735	-0.1311	-0.4214	-0.1452	-0.2763	99.8131	72.9598			
41	-0.3121	-0.6604	-0.1741	-0.4862	-0.2447	-0.5865	-0.1709	-0.4156	-0.144	-0.4828	-0.1694	-0.3134	99.8133	73.0198			
42	-0.3569	-0.7365	-0.1898	-0.5466	-0.3096	-0.6644	-0.1774	-0.487	-0.1806	-0.5554	-0.1875	-0.3681	99.814	73.0236			
43	-0.406	-0.833	-0.2135	-0.6194	-0.3279	-0.7515	-0.2118	-0.5397	-0.2172	-0.6281	-0.2055	-0.4227	99.8143	73.0236			
44	-0.4235	-0.9145	-0.2454	-0.6689	-0.3965	-0.8467	-0.2251	-0.6216	-0.2776	-0.7122	-0.2174	-0.4949	99.8162	72.9109			
45	-0.4682	-0.9906	-0.2611	-0.7293	-0.3805	-0.8862	-0.2528	-0.6333	-0.2398	-0.7355	-0.2479	-0.4877	99.8155	73.0799			
46	-0.3603	-0.8844	-0.262	-0.6223	-0.2777	-0.7432	-0.2328	-0.5105	-0.1287	-0.6134	-0.2424	-0.3711	99.8121	73.1284			
47	-0.3156	-0.8083	-0.2463	-0.5619	-0.2165	-0.6828	-0.2331	-0.4496	-0.1191	-0.5674	-0.2242	-0.3433	99.8113	73.0723			
48	-0.2796	-0.7729	-0.2466	-0.5262	-0.2361	-0.6608	-0.2123	-0.4484	-0.1364	-0.5481	-0.2059	-0.3423	99.812	72.956			
49	-0.2981	-0.7268	-0.2143	-0.5124	-0.2055	-0.6305	-0.2125	-0.418	-0.1062	-0.5061	-0.2	-0.3062	99.8136	73.0723			
50	-0.2665	-0.7118	-0.2226	-0.4891	-0.2251	-0.6085	-0.1917	-0.4168	-0.1062	-0.5061	-0.2	-0.3062	99.8119	73.0161			
51	-0.2981	-0.7268	-0.2143	-0.5124	-0.2557	-0.6388	-0.1915	-0.4472	-0.1094	-0.5214	-0.206	-0.3155	99.8141	73.0761			
52	-0.3025	-0.7472	-0.2223	-0.5248	-0.2594	-0.6562	-0.1984	-0.4578	-0.1332	-0.5328	-0.1999	-0.333	99.8143	73.0161			
53	-0.334	-0.7622	-0.214	-0.5481	-0.29	-0.6864	-0.1982	-0.4882	-0.1601	-0.5594	-0.1997	-0.3598	99.8153	73.0198			
54	-0.3744	-0.818	-0.2217	-0.5961	-0.3243	-0.734	-0.2049	-0.5291	-0.1903	-0.6015	-0.2056	-0.3959	99.8153	73.0198			
55	-0.4191	-0.8941	-0.2374	-0.6565	-0.3659	-0.8165	-0.2253	-0.5912	-0.2269	-0.6742	-0.2237	-0.4506	99.8164	73.0236			
56	-0.3963	-0.9198	-0.2617	-0.658	-0.3083	-0.7735	-0.2326	-0.5409	-0.1525	-0.6248	-0.2362	-0.3887	99.8134	73.1246			
57	-0.284	-0.7933	-0.2546	-0.5386	-0.1859	-0.6525	-0.2333	-0.4192	-0.0921	-0.5408	-0.2244	-0.3165	99.8102	73.0685			
58	-0.2796	-0.7729	-0.2466	-0.5262	-0.2092	-0.6479	-0.2194	-0.4286	-0.1126	-0.5368	-0.2121	-0.3248	99.8111	73.0123			
59	-0.3068	-0.7675	-0.2303	-0.5371	-0.2092	-0.6479	-0.2194	-0.4286	-0.0889	-0.5254	-0.2183	-0.3072	99.8124	73.1284			
